rhino_id,species,inst_id,age,sex,housing,birth_type,temperature,precipitation,cloud_cover,size,access,calf_present,previous_presence,diversity,richness,gatewait_NO,stimulated_NO,unstimulated_NO,active_NO,inactive_NO,pace_NO,latency_sec,other_NO,notvisible_NO,retreat_NO,snort_NO,snarl_NO,pant_NO,whine_NO,attack_NO,charge_NO,void_NO,marking_NO,olfact_other_NO,olfact_obj_NO,advance_direct_NO,head_fling_NO,contact_inx_NO,near_NO,distant_NO,SessionDuration_sec,SessionDuration_allsec,SessionDurationMin,prop.gatewait,prop.stimulated,prop.unstimulated,prop.active,prop.inactive,prop.latency,prop.pace,prop.other,distance_int,prop.near,freq.retreat,freq.snort,freq.snarl,freq.whine,freq.pant,freq.attack,freq.charge,freq.void,freq.marking,freq.olfact_obj,freq.olfact_other,freq.advance_direct,freq.head_fling,freq.contact_inx,freq.other,censoring,log_duration,log_durationsec,log_distance
14662588,White,Inst-52,9,Female,Social,Captive,-2.777777778,None,Sunny,S,Indoor,Yes,yes,1.505872262,7,0,9,1185,271,923,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,18,2,1194,1194,19.9,0,0.007537688,0.992462312,0.226968174,0.773031826,0.006700168,0,0,20,0.9,0,0,0,0,0,0,0,0,0,0.201005025,0,0.150753769,0,0.150753769,0,1,2.990719732,7.085064294,2.995732274
14662558,White,Inst-52,13,Female,Social,Captive,3.888888889,None,Sunny,S,Indoor,Yes,yes,1.761534582,8,0,146,1033,171,1008,0,23,0,0,0,0,0,0,0,0,0,0,2,2,11,2,0,7,20,0,1179,1179,19.65,0,0.123833757,0.876166243,0.145038168,0.854961832,0.019508058,0,0,20,1,0,0,0,0,0,0,0,0,0.10178117,0.559796438,0.10178117,0.10178117,0,0.356234097,0,1,2.978077338,7.072421901,2.995732274
14662354,Black,Inst-6,11,Female,Social,Captive,17.77777778,None,Sunny,S,Indoor,No,no,2.000311876,11,65,106,1088,437,238,0,55,0,0,4,0,0,2,0,1,0,0,0,0,2,5,0,13,13,4,1194,1194,19.9,0.054438861,0.088777219,0.911222781,0.36599665,0.199329983,0.046063652,0,0,17,0.764705882,0.201005025,0,0,0,0.100502513,0.050251256,0,0,0,0.100502513,0,0.251256281,0,0.653266332,0,1,2.990719732,7.085064294,2.833213344
19990829,Black,Inst-18,21,Male,Individual,Captive,20,None,Overcast,M,Outdoor,No,yes,1.656868846,7,0,19,1169,491,621,0,5,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,15,11,9,1188,1188,19.8,0,0.015993266,0.984006734,0.413299663,0.522727273,0.004208754,0,0,20,0.55,0,0,0,0,0,0,0,0.202020202,0,0.252525253,0,0.151515152,0,0.757575758,0,1,2.985681938,7.0800265,2.995732274
14662486,White,Inst-52,32,Male,Individual,Wild,20.55555556,None,Sunny,M,Indoor,No,no,1.986114945,10,89,245,930,523,169,0,17,0,0,0,0,0,0,0,6,0,0,2,2,3,3,0,1,9,10,1175,1175,19.58333333,0.075744681,0.208510638,0.791489362,0.445106383,0.143829787,0.014468085,0,0,19,0.473684211,0,0,0,0,0,0.306382979,0,0,0.10212766,0.153191489,0.10212766,0.153191489,0,0.05106383,0,1,2.974678864,7.069023427,2.944438979
20563577,White,Inst-3,37,Female,Social,Wild,8.888888889,None,Overcast,S,Indoor,No,yes,1.276987856,5,0,0,1170,24,1146,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,19,1,1170,1170,19.5,0,0,1,0.020512821,0.979487179,0.001709402,0,0,20,0.95,0,0,0,0,0,0,0,0,0,0.307692308,0,0,0,0.307692308,0,1,2.970414466,7.064759028,2.995732274
19024655,Black,Inst-50,24,Female,Social,Captive,25,None,Sunny,S,Indoor,No,yes,1.306407397,6,0,0,1195,28,1167,0,8,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,20,0,1195,1195,19.91666667,0,0,1,0.023430962,0.976569038,0.006694561,0,0,20,1,0,0,0,0,0,0,0,0,0,0.150627615,0.10041841,0,0,0.251046025,0,1,2.991556902,7.085901464,2.995732274
19990826,White,Inst-26,23,Female,Social,Captive,22.22222222,None,Sunny,L,Outdoor,Yes,yes,1.365699763,7,0,42,1138,57,1123,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,3,17,1180,1180,19.66666667,0,0.03559322,0.96440678,0.048305085,0.951694915,0.005932203,0,0,20,0.15,0,0,0,0,0,0,0,0,0,0.203389831,0,0.050847458,0,0.203389831,0,1,2.978925155,7.073269717,2.995732274
22742480,White,Inst-26,7,Female,Social,Captive,27.77777778,None,Sunny,L,Outdoor,Yes,yes,1.935833495,8,0,242,937,503,676,0,2,0,0,0,0,0,0,0,0,0,0,2,7,5,3,0,4,5,15,1179,1179,19.65,0,0.205258694,0.794741306,0.42663274,0.57336726,0.001696353,0,0,20,0.25,0,0,0,0,0,0,0,0,0.10178117,0.254452926,0.356234097,0.152671756,0,0.203562341,0,1,2.978077338,7.072421901,2.995732274
19990805,Black,Inst-18,20,Male,Individual,Captive,21.11111111,None,Partly cloudy,M,Outdoor,No,yes,1.902686801,8,0,771,336,628,479,46,41,0,18,5,0,0,0,0,0,0,0,0,0,6,3,0,0,5,15,1153,1153,19.21666667,0,0.668690373,0.291413703,0.544666088,0.415437988,0.03555941,0.039895924,0,20,0.25,0.260190807,0,0,0,0,0,0,0,0,0.312228968,0,0.156114484,0,0,0,1,2.955777958,7.05012252,2.995732274
