"rhino_id","inst_id","species","sex","dob","age","birth_type","housing","date","lat","long","keeper_id","social_incomp","active","calm","investigative","sleep","stereotypies","assertive","chemosensory","con_af","con_ag","con_ff","food_ag","no_obj","pre_obj","social","vocal","fam_af","fam_ag","fam_ff","responsive","stranger_af","stranger_ag","stranger_ff"
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-12,28.2249886,-80.7138556,"Keeper 180","No",6,1.9,2.1,8,2.8,5.7,8.1,3.2,1.9,6.9,7.2,0.7,1.4,9.3,7.5,10,3.1,1.3,5.1,9.7,2.4,2
14662342,"Inst-24","Eastern Black","Female",2004-02-08,18,"Captive","Individual",2022-12-08,39.00694,-94.5291537,"Keeper 147","",5.4,8.3,5.3,5.6,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.1,0.5,7.7,8.6,0.1,0.2
14662651,"Inst-1","Southern White","Male",1986-11-25,36,"Captive","Individual",2023-09-19,43.3409762,-80.1800999,"Keeper 201","",6.9,3.1,5,7.3,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,1.5,9.1,8.2,1.8,1.8
14662651,"Inst-1","Southern White","Male",1986-11-25,36,"Captive","Individual",2023-09-20,43.3409762,-80.1800999,"Keeper 112","",8,4,9.5,3.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,9,9,0,1.5
14662651,"Inst-1","Southern White","Male",1986-11-25,36,"Captive","Individual",2023-09-20,43.3409762,-80.1800999,"Keeper 99","",1.4,2,4,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0,1,5,5,0.5,1.5
22187234,"Inst-1","Southern White","Female",1995-01-01,28,"Wild","Social",2023-09-20,43.3409762,-80.1800999,"Keeper 201","Yes",6,7,7,8,1,7,2,8.5,5,1.3,2,2,1.8,9,9,10,0.5,0.5,9.5,9,0.5,0.5
22187234,"Inst-1","Southern White","Female",1995-01-01,28,"Wild","Social",2023-09-20,43.3409762,-80.1800999,"Keeper 112","Yes",5,7.5,8,5,0.5,9.5,7,8.6,7,1,5,2,2,10,9,10,0.5,1,9.1,6.5,2,1.5
22187234,"Inst-1","Southern White","Female",1995-01-01,28,"Wild","Social",2023-09-20,43.3409762,-80.1800999,"Keeper 99","Yes",2,2,5,8,0,5,1,9,2,1.5,3,2,4,9.5,7,9,0.3,0.3,8.5,8,0,0
22187246,"Inst-1","Southern White","Female",1996-01-01,27,"Wild","Social",2023-09-19,43.3409762,-80.1800999,"Keeper 201","Yes",5,6.5,7.5,7,2.6,7.9,1.9,7.9,7.9,0,7.8,1,1,9.5,9.5,9.5,1.2,0.5,7.5,7,0.9,1.5
22187246,"Inst-1","Southern White","Female",1996-01-01,27,"Wild","Social",2023-09-20,43.3409762,-80.1800999,"Keeper 112","Yes",6,8,10,3.5,0.5,9,4,9,5,1,8,1.5,1.5,8,5,8,5.6,0.5,5,6.5,1,2.5
