rhino_id,inst_id,species,sex,age,birth_type,housing,train,train_period,train_week,train_time,trainers_beh,beh_number_daily,managed_w_others,social_incomp,PC1,PC2,PC3,PC4,active,calm,investigative,sleep,stereotypies,assertive,chemosensory,con_af,con_ag,con_ff,food_ag,no_obj,pre_obj,social,vocal,fam_af,fam_ag,fam_ff,responsive,stranger_af,stranger_ag,stranger_ff
18673181,Inst-33,White,Female,17,Captive,Social,Yes,3-5 yrs,1,15-Jan,4-Mar,<5,Yes,No,1.935596737,-0.281021315,0.598516792,-0.703217534,6,9.9,7,5,0.1,4.3,4.3,7,4,3,3,4,2,8,5,9.8,0.1,0.1,8,9,0.1,0.2
19030313,Inst-55,White,Female,11,Wild,Social,No,,NA,,,,Yes,No,-3.694168774,-1.755385412,0.355428748,-2.399114948,4.15,5.5,4,4.75,0.3,4.5,2.5,5,3.65,1.75,5.8,1,2,4.65,2.6,5,3.3,0.6,6,4,1.2,1.3
14662588,Inst-52,White,Female,9,Captive,Social,Yes,1-3 yrs,1.5,15-Jan,2-Jan,<5,Yes,No,0.529577609,1.071003548,-0.749171212,0.495176912,6.5,6,7.75,4,0.75,6.5,5,7.75,1.75,1,4.5,5.5,6.5,6.5,5.5,9.5,0,1,8.25,8.75,0,2
16952462,Inst-4,White,Female,22,Captive,Social,Yes,1-3 yrs,5,31-45,2-Jan,<5,Yes,No,1.218146193,-0.901207243,0.260757563,-0.602616334,5,8.1,5,5,0.5,3,6,7.5,2,0.5,5.5,1.1,1.1,9,7.5,9.1,0.5,0,8,10,0.5,0.5
24428337,Inst-46,Black,Male,19,Captive,Social,Yes,>5 yrs,7,15-Jan,>6,10-May,Yes,No,1.991745267,1.059546594,0.085443408,-0.280301784,7.9,8,8,5,2.5,4,8.5,8.25,2.9,0.4,0.7,0.4,0.4,8.95,5.2,8.5,0.5,0.05,9,8.1,0.5,0.5
23217244,Inst-58,White,Female,19,Wild,Social,Yes,3-5 yrs,3.5,15-Jan,4-Mar,<5,Yes,No,-0.383714215,0.54855586,-0.565602611,-2.477873935,8,3.7,7.3,5,0,7,2,5,8,0.75,9,1.85,2.1,4,7,7,0.5,0,5,7.2,0,0
14662558,Inst-52,White,Female,13,Captive,Social,Yes,>5 yrs,1,15-Jan,2-Jan,<5,Yes,No,0.158414588,2.508080191,-1.240364933,0.585223112,7,3,10,3,1,10,5,10,4,1,4,8,5,8,5,10,0,1,7,9,0,3
20563568,Inst-27,Black,Female,16,Captive,Social,Yes,3-5 yrs,2.5,15-Jan,2-Jan,<5,Yes,No,-0.504807319,0.655324542,-2.686950524,-0.5610254,5,3,10,4,2.95,6,2,10,2.4,4.9,1,0.6,2.5,6,6.8,9.5,3,0,8,5,3.9,1
20553968,Inst-26,White,Female,9,Captive,Social,Yes,>5 yrs,7,15-Jan,2-Jan,<5,Yes,No,0.147611655,0.51150876,1.180984492,0.485284986,8,9,8,6,1,8,6,8.5,6,3,4,3,3,7,2,9,1,1,8,9,1,1
23877355,Inst-23,White,Male,54,Wild,Social,Yes,1-3 yrs,1,15-Jan,2-Jan,<5,Yes,No,-0.992115502,-1.446914392,-1.343084975,0.124324925,5,8.15,4.6,6,0.05,1.55,6.8,7.7,1.45,3.2,1.2,0.5,0.6,7.75,3.2,7.45,0.05,1.7,7.85,7.35,0.05,3
